author,authorName
http://SDM_LAB3.org/a10135,Karen Karapetyan
http://SDM_LAB3.org/a10136,S. Dracheva
http://SDM_LAB3.org/a10138,Christopher A. Barnes
http://SDM_LAB3.org/a10139,M. Atkinson
http://SDM_LAB3.org/a1014,Aron Henriksson
http://SDM_LAB3.org/a10141,D. Maier
http://SDM_LAB3.org/a10142,S. Zdonik
http://SDM_LAB3.org/a10143,E. Wingender
http://SDM_LAB3.org/a10145,H. Karas
http://SDM_LAB3.org/a10146,R. Knüppel
http://SDM_LAB3.org/a10147,Thomas Gloe
http://SDM_LAB3.org/a10150,Nirmesh Malviya
http://SDM_LAB3.org/a10151,Eugene Wu
http://SDM_LAB3.org/a10152,H. Balakrishnan
http://SDM_LAB3.org/a10153,N. Zeldovich
http://SDM_LAB3.org/a10154,M. Tanabe
http://SDM_LAB3.org/a10158,M. Vingron
http://SDM_LAB3.org/a10159,A. Valencia
http://SDM_LAB3.org/a1016,S. Velupillai
http://SDM_LAB3.org/a10160,H. Margalit
http://SDM_LAB3.org/a10161,John Armstrong
http://SDM_LAB3.org/a10163,J. Klappenbach
http://SDM_LAB3.org/a10164,M. Biswas
http://SDM_LAB3.org/a10165,F. Corpet
http://SDM_LAB3.org/a10167,W. Fleischmann
http://SDM_LAB3.org/a10168,J. Gouzy
http://SDM_LAB3.org/a10170,Y. Karavidopoulou
http://SDM_LAB3.org/a10171,B. Marx
http://SDM_LAB3.org/a10173,I. Donaldson
http://SDM_LAB3.org/a10174,Cheryl Wolting
http://SDM_LAB3.org/a10175,T. Pawson
http://SDM_LAB3.org/a10176,C. Hogue
http://SDM_LAB3.org/a10177,D. Achlioptas
http://SDM_LAB3.org/a10179,N. Goodman
http://SDM_LAB3.org/a1018,P. Diggle
http://SDM_LAB3.org/a10180,Yasukazu Nakamura
http://SDM_LAB3.org/a10181,Alex Brown
http://SDM_LAB3.org/a10182,C. Glass
http://SDM_LAB3.org/a10183,A. Merrill
http://SDM_LAB3.org/a10184,C. Raetz
http://SDM_LAB3.org/a10185,D. Russell
http://SDM_LAB3.org/a10186,Yilong Yin
http://SDM_LAB3.org/a10187,Lili Liu
http://SDM_LAB3.org/a10188,Xiwei Sun
http://SDM_LAB3.org/a10189,Laura Zarebski
http://SDM_LAB3.org/a1019,B. Westra
http://SDM_LAB3.org/a10190,Hussein Emami
http://SDM_LAB3.org/a10191,I. Hoof
http://SDM_LAB3.org/a10193,R. Damle
http://SDM_LAB3.org/a10194,D. Newman
http://SDM_LAB3.org/a10196,V. Kalesnykiene
http://SDM_LAB3.org/a10197,J. Kämäräinen
http://SDM_LAB3.org/a102,Jonathan Warren
http://SDM_LAB3.org/a1020,T. Clancy
http://SDM_LAB3.org/a10200,A. Raninen
http://SDM_LAB3.org/a10201,R. Voutilainen
http://SDM_LAB3.org/a10202,H. Uusitalo
http://SDM_LAB3.org/a10203,H. Kälviäinen
http://SDM_LAB3.org/a10208,M. Loog
http://SDM_LAB3.org/a1021,J. Sensmeier
http://SDM_LAB3.org/a10210,Patricia Bauer
http://SDM_LAB3.org/a10212,J. Wösten
http://SDM_LAB3.org/a10218,N. Althorpe
http://SDM_LAB3.org/a10219,W. Baker
http://SDM_LAB3.org/a1022,J. Warren
http://SDM_LAB3.org/a10223,Alexandra van den Broek
http://SDM_LAB3.org/a10225,Karyn Duggan
http://SDM_LAB3.org/a10227,John Gamble
http://SDM_LAB3.org/a10228,Federico Garcia Diez
http://SDM_LAB3.org/a10229,Nicola Harte
http://SDM_LAB3.org/a1023,Charlotte A. Weaver
http://SDM_LAB3.org/a10230,T. Kulikova
http://SDM_LAB3.org/a10233,Renato Mancuso
http://SDM_LAB3.org/a10234,Michelle McHale
http://SDM_LAB3.org/a10237,S. Sobhany
http://SDM_LAB3.org/a10238,P. Stoehr
http://SDM_LAB3.org/a10239,M. A. Tuli
http://SDM_LAB3.org/a1024,C. Delaney
http://SDM_LAB3.org/a10240,Katerina Tzouvara
http://SDM_LAB3.org/a10243,Weimin Zhu
http://SDM_LAB3.org/a10244,R. Frischknecht
http://SDM_LAB3.org/a10245,N. Jungbluth
http://SDM_LAB3.org/a10246,H. Althaus
http://SDM_LAB3.org/a10248,R. Dones
http://SDM_LAB3.org/a10250,S. Hellweg
http://SDM_LAB3.org/a10254,M. Spielmann
http://SDM_LAB3.org/a10255,B. Bond‐Lamberty
http://SDM_LAB3.org/a10257,B. Thalheim
http://SDM_LAB3.org/a10259,Qiong Luo
http://SDM_LAB3.org/a1026,J. Mount
http://SDM_LAB3.org/a10261,Holger Dinkel
http://SDM_LAB3.org/a10262,S. Michael
http://SDM_LAB3.org/a10263,Robert J. Weatheritt
http://SDM_LAB3.org/a10266,B. Altenberg
http://SDM_LAB3.org/a10267,G. Toedt
http://SDM_LAB3.org/a10269,Markus Seiler
http://SDM_LAB3.org/a1027,Paul E. Anderson
http://SDM_LAB3.org/a10270,Lisa Jödicke
http://SDM_LAB3.org/a10271,M. A. Dammert
http://SDM_LAB3.org/a10272,Christian Schroeter
http://SDM_LAB3.org/a10273,Maria Hammer
http://SDM_LAB3.org/a10274,Tobias Schmidt
http://SDM_LAB3.org/a10275,Peter Jehl
http://SDM_LAB3.org/a10276,C. McGuigan
http://SDM_LAB3.org/a10278,Claudia Chica
http://SDM_LAB3.org/a10279,Katja Luck
http://SDM_LAB3.org/a1028,J. Bowring
http://SDM_LAB3.org/a10280,Niall J. Haslam
http://SDM_LAB3.org/a10281,Gleb Grebnev
http://SDM_LAB3.org/a10285,F. Diella
http://SDM_LAB3.org/a10288,H. Handoll
http://SDM_LAB3.org/a10290,Harinder Singh
http://SDM_LAB3.org/a10291,A. Tyagi
http://SDM_LAB3.org/a10295,Gajendra P.S. Raghava
http://SDM_LAB3.org/a10296,S. Ceri
http://SDM_LAB3.org/a10297,Kate B. Cook
http://SDM_LAB3.org/a10298,H. Kazan
http://SDM_LAB3.org/a10299,K. Zuberi
http://SDM_LAB3.org/a10300,Q. Morris
http://SDM_LAB3.org/a10302,J. Pokorný
http://SDM_LAB3.org/a10303,H. Mewes
http://SDM_LAB3.org/a10305,A. Kaps
http://SDM_LAB3.org/a10306,K. Mayer
http://SDM_LAB3.org/a10307,F. Pfeiffer
http://SDM_LAB3.org/a1031,Christopher W. Starr
http://SDM_LAB3.org/a10311,J. Bryne
http://SDM_LAB3.org/a10314,T. Marstrand
http://SDM_LAB3.org/a10315,O. Winther
http://SDM_LAB3.org/a10316,I. Piedade
http://SDM_LAB3.org/a10317,A. Krogh
http://SDM_LAB3.org/a10319,Philippe Bonnet
http://SDM_LAB3.org/a1032,C. Dobre
http://SDM_LAB3.org/a10321,P. Seshadri
http://SDM_LAB3.org/a10323,B. Warner
http://SDM_LAB3.org/a10324,A. Harris
http://SDM_LAB3.org/a10326,J. Momand
http://SDM_LAB3.org/a10327,D. Jung
http://SDM_LAB3.org/a10328,S. Wilczynski
http://SDM_LAB3.org/a10329,J. Niland
http://SDM_LAB3.org/a1033,F. Xhafa
http://SDM_LAB3.org/a10330,L. Bertossi
http://SDM_LAB3.org/a10333,T. J. Dennis
http://SDM_LAB3.org/a10334,A. Joshi
http://SDM_LAB3.org/a10335,K. Billore
http://SDM_LAB3.org/a10337,O. Fakhouri
http://SDM_LAB3.org/a10338,G. Marcy
http://SDM_LAB3.org/a10340,Ying Feng
http://SDM_LAB3.org/a10343,D. Fischer
http://SDM_LAB3.org/a10345,Y. Ralchenko
http://SDM_LAB3.org/a10346,F. Jou
http://SDM_LAB3.org/a10347,D. Kelleher
http://SDM_LAB3.org/a10348,A. Kramida
http://SDM_LAB3.org/a10349,A. Musgrove
http://SDM_LAB3.org/a1035,Souvik Bhattacherjee
http://SDM_LAB3.org/a10352,E. Bright
http://SDM_LAB3.org/a10353,P. Coleman
http://SDM_LAB3.org/a10354,J. E. Dobson
http://SDM_LAB3.org/a10355,Megan Sickmeier
http://SDM_LAB3.org/a10356,Justin A. Hamilton
http://SDM_LAB3.org/a10358,V. Vacic
http://SDM_LAB3.org/a10359,M. Cortese
http://SDM_LAB3.org/a1036,Amit Chavan
http://SDM_LAB3.org/a10360,Á. Tantos
http://SDM_LAB3.org/a10362,P. Tompa
http://SDM_LAB3.org/a10363,J. Chen
http://SDM_LAB3.org/a10365,Xiaochen Chen
http://SDM_LAB3.org/a10366,T. Worm
http://SDM_LAB3.org/a10367,Michael Reale
http://SDM_LAB3.org/a10368,Chad Vicknair
http://SDM_LAB3.org/a10369,Michael Macias
http://SDM_LAB3.org/a1037,Aaron J. Elmore
http://SDM_LAB3.org/a10370,Zhendong Zhao
http://SDM_LAB3.org/a10372,D. Wilkins
http://SDM_LAB3.org/a10374,N. D. Silva
http://SDM_LAB3.org/a10377,Giles Velarde
http://SDM_LAB3.org/a10378,Jacqueline A. McQuillan
http://SDM_LAB3.org/a1038,S. Madden
http://SDM_LAB3.org/a10381,S. Subramanian
http://SDM_LAB3.org/a10383,Carol Farris
http://SDM_LAB3.org/a10386,P. Myler
http://SDM_LAB3.org/a10387,M. Carrington
http://SDM_LAB3.org/a10388,Deborah F. Smith
http://SDM_LAB3.org/a1039,Aditya G. Parameswaran
http://SDM_LAB3.org/a10390,David A. Fletcher
http://SDM_LAB3.org/a10391,R. Mcmeeking
http://SDM_LAB3.org/a10395,C. Derow
http://SDM_LAB3.org/a10396,A. Ghanbarian
http://SDM_LAB3.org/a10397,J. Kerssemakers
http://SDM_LAB3.org/a10398,C. Leroy
http://SDM_LAB3.org/a10399,M. Menden
http://SDM_LAB3.org/a1040,W. Cleveland
http://SDM_LAB3.org/a10400,M. Michaut
http://SDM_LAB3.org/a10403,K. V. Eijk
http://SDM_LAB3.org/a10406,F. Gnad
http://SDM_LAB3.org/a10407,J. Gunawardena
http://SDM_LAB3.org/a10408,O. White
http://SDM_LAB3.org/a10409,M. J. Berger
http://SDM_LAB3.org/a1041,Joshua Fairfield
http://SDM_LAB3.org/a10410,J. S. Coursey
http://SDM_LAB3.org/a10411,D. Zucker
http://SDM_LAB3.org/a10412,Boris New
http://SDM_LAB3.org/a10414,M. Brysbaert
http://SDM_LAB3.org/a10415,L. Ferrand
http://SDM_LAB3.org/a10416,D. Abadi
http://SDM_LAB3.org/a10417,Miguel Ferreira
http://SDM_LAB3.org/a10418,N. Novère
http://SDM_LAB3.org/a10419,B. Bornstein
http://SDM_LAB3.org/a1042,Hannah Shtein
http://SDM_LAB3.org/a10420,A. Broicher
http://SDM_LAB3.org/a10421,M. Donizelli
http://SDM_LAB3.org/a10422,Harish Dharuri
http://SDM_LAB3.org/a10423,Lu Li
http://SDM_LAB3.org/a10424,H. Sauro
http://SDM_LAB3.org/a10425,M. Schilstra
http://SDM_LAB3.org/a10426,B. Shapiro
http://SDM_LAB3.org/a10427,J. Snoep
http://SDM_LAB3.org/a10430,Michael Strong
http://SDM_LAB3.org/a10431,P. Muthukrishnan
http://SDM_LAB3.org/a10432,B. Weiner
http://SDM_LAB3.org/a10433,G. Church
http://SDM_LAB3.org/a10434,M. Murray
http://SDM_LAB3.org/a10435,M. Onis
http://SDM_LAB3.org/a10436,M. Blössner
http://SDM_LAB3.org/a10437,C. Cranor
http://SDM_LAB3.org/a10439,Vladislav Shkapenyuk
http://SDM_LAB3.org/a1044,Jason D. Hartline
http://SDM_LAB3.org/a10440,J. Collado-Vides
http://SDM_LAB3.org/a10441,S. Gama-Castro
http://SDM_LAB3.org/a10443,I. Paulsen
http://SDM_LAB3.org/a10444,Martín Peralta-Gil
http://SDM_LAB3.org/a10447,G. Winnewisser
http://SDM_LAB3.org/a10448,Niki Aifanti
http://SDM_LAB3.org/a10449,Christos Papachristou
http://SDM_LAB3.org/a10450,A. Delopoulos
http://SDM_LAB3.org/a10452,C. M. Gould
http://SDM_LAB3.org/a10453,Betty Lazareva-Ulitsky
http://SDM_LAB3.org/a10454,R. Loo
http://SDM_LAB3.org/a10456,J. Vandergriff
http://SDM_LAB3.org/a10457,Steven Rabkin
http://SDM_LAB3.org/a10458,Nan Guo
http://SDM_LAB3.org/a10459,A. Muruganujan
http://SDM_LAB3.org/a10460,Olivier Doremieux
http://SDM_LAB3.org/a10461,M. Campbell
http://SDM_LAB3.org/a10462,H. Kitano
http://SDM_LAB3.org/a10463,S. A. Abbas
http://SDM_LAB3.org/a10467,K. P. O'Brien
http://SDM_LAB3.org/a10468,M. Remm
http://SDM_LAB3.org/a10469,G. LaFree
http://SDM_LAB3.org/a1047,J. Kittler
http://SDM_LAB3.org/a10470,Laura Dugan
http://SDM_LAB3.org/a10471,Goparani Mishra
http://SDM_LAB3.org/a10472,M. Suresh
http://SDM_LAB3.org/a10473,K. Kumaran
http://SDM_LAB3.org/a10474,N. Kannabiran
http://SDM_LAB3.org/a10475,P. Bala
http://SDM_LAB3.org/a10476,K. Shivakumar
http://SDM_LAB3.org/a10477,N. Anuradha
http://SDM_LAB3.org/a10478,R. Reddy
http://SDM_LAB3.org/a10479,T. M. Raghavan
http://SDM_LAB3.org/a10480,S. Menon
http://SDM_LAB3.org/a10482,Malvika Gupta
http://SDM_LAB3.org/a10483,Sapna Upendran
http://SDM_LAB3.org/a10485,M. Mahesh
http://SDM_LAB3.org/a10486,Bincy Jacob
http://SDM_LAB3.org/a10489,K. Arun
http://SDM_LAB3.org/a1049,M. Naor
http://SDM_LAB3.org/a10490,Salil Sharma
http://SDM_LAB3.org/a10491,Kshitish Palvankar
http://SDM_LAB3.org/a10493,R. Krishnakanth
http://SDM_LAB3.org/a10495,B. Rekha
http://SDM_LAB3.org/a10496,R. Nayak
http://SDM_LAB3.org/a10498,H. Kumar
http://SDM_LAB3.org/a10499,M. Nagini
http://SDM_LAB3.org/a105,A. Willis
http://SDM_LAB3.org/a1050,Mary E. Webb
http://SDM_LAB3.org/a10500,Rojan Jose
http://SDM_LAB3.org/a10501,P. Deepthi
http://SDM_LAB3.org/a10504,B. Ruscic
http://SDM_LAB3.org/a10505,R. Tully
http://SDM_LAB3.org/a10506,L. Rizzi
http://SDM_LAB3.org/a1051,Panagiotis Barlas
http://SDM_LAB3.org/a10510,B. Jacobs
http://SDM_LAB3.org/a10512,Jorge Duarte
http://SDM_LAB3.org/a10513,Allyson Williams
http://SDM_LAB3.org/a10515,R. Copley
http://SDM_LAB3.org/a10517,M. Krestyaninova
http://SDM_LAB3.org/a10518,David Peyruc
http://SDM_LAB3.org/a10519,A. Ghias
http://SDM_LAB3.org/a1052,Ivor Lanning
http://SDM_LAB3.org/a10521,David Chamberlin
http://SDM_LAB3.org/a10522,B. Smith
http://SDM_LAB3.org/a10523,L. Issel-Tarver
http://SDM_LAB3.org/a10524,R. Andrada
http://SDM_LAB3.org/a10529,Patricia P. Griffiths
http://SDM_LAB3.org/a1053,C. Heavey
http://SDM_LAB3.org/a10531,Paul R. McJones
http://SDM_LAB3.org/a10535,V. Watson
http://SDM_LAB3.org/a10536,K. Brown
http://SDM_LAB3.org/a10537,J. Ortega-Garcia
http://SDM_LAB3.org/a10538,Julian Fierrez
http://SDM_LAB3.org/a10539,D. Simon
http://SDM_LAB3.org/a1054,K. Antell
http://SDM_LAB3.org/a10540,J. González
http://SDM_LAB3.org/a10541,M. Faúndez-Zanuy
http://SDM_LAB3.org/a10542,V. Espinosa
http://SDM_LAB3.org/a10543,A. Satue
http://SDM_LAB3.org/a10545,J. J. Igarza
http://SDM_LAB3.org/a10546,C. Vivaracho
http://SDM_LAB3.org/a10547,David Escudero
http://SDM_LAB3.org/a10548,Q. I. Moro
http://SDM_LAB3.org/a10549,H. Velthuizenvan
http://SDM_LAB3.org/a1055,J. B. Foote
http://SDM_LAB3.org/a10551,P. EngelenvanV.W.
http://SDM_LAB3.org/a10552,J. Fischer
http://SDM_LAB3.org/a10553,L. Montanarela
http://SDM_LAB3.org/a10555,F. Olken
http://SDM_LAB3.org/a10557,M. Stonebraker
http://SDM_LAB3.org/a10558,S. Kawashima
http://SDM_LAB3.org/a10559,W. Olson
http://SDM_LAB3.org/a1056,Jaymie Turner
http://SDM_LAB3.org/a10561,A. Gelbin
http://SDM_LAB3.org/a10565,B. Schneider
http://SDM_LAB3.org/a10566,James R. Barth
http://SDM_LAB3.org/a10567,G. Caprio
http://SDM_LAB3.org/a10568,Ross Levine
http://SDM_LAB3.org/a1057,Brian C. Shults
http://SDM_LAB3.org/a10572,R. Schwacke
http://SDM_LAB3.org/a10573,A. Schneider
http://SDM_LAB3.org/a10574,E. van der Graaff
http://SDM_LAB3.org/a10575,K. Fischer
http://SDM_LAB3.org/a10576,E. Catoni
http://SDM_LAB3.org/a10577,M. Desimone
http://SDM_LAB3.org/a10579,U. Flügge
http://SDM_LAB3.org/a10580,R. Kunze
http://SDM_LAB3.org/a10581,R. Shafer
http://SDM_LAB3.org/a10583,Bryan Chan
http://SDM_LAB3.org/a10584,R. Showstack
http://SDM_LAB3.org/a10588,M. Wiemann
http://SDM_LAB3.org/a10589,Zhenhai Zhang
http://SDM_LAB3.org/a1059,Lillian Pierson
http://SDM_LAB3.org/a10590,Jingyin Yu
http://SDM_LAB3.org/a10591,Daofeng Li
http://SDM_LAB3.org/a10593,Yi Ling
http://SDM_LAB3.org/a10594,Zhen Su
http://SDM_LAB3.org/a10595,H. Plattner
http://SDM_LAB3.org/a10597,R. Poynter
http://SDM_LAB3.org/a10598,N. Husson
http://SDM_LAB3.org/a10599,Virginia E. Ogle
http://SDM_LAB3.org/a106,Z. Xu
http://SDM_LAB3.org/a10601,Hiroki Hashiguchi
http://SDM_LAB3.org/a10602,T. Nishimura
http://SDM_LAB3.org/a10603,R. Oka
http://SDM_LAB3.org/a10604,Werner Kießling
http://SDM_LAB3.org/a10607,S. Benner
http://SDM_LAB3.org/a10609,B. M. Vrushabendra
http://SDM_LAB3.org/a1061,Fan Jiang
http://SDM_LAB3.org/a10610,D. R. Chowdhury
http://SDM_LAB3.org/a10611,C. K. Prasad
http://SDM_LAB3.org/a10613,Hugo Proença
http://SDM_LAB3.org/a10614,Luís A. Alexandre
http://SDM_LAB3.org/a10615,M. Yen
http://SDM_LAB3.org/a10617,C. Elkan
http://SDM_LAB3.org/a10618,Qi Sun
http://SDM_LAB3.org/a10620,W. Majeran
http://SDM_LAB3.org/a10621,G. Friso
http://SDM_LAB3.org/a10622,P. D. Olinares
http://SDM_LAB3.org/a10624,J. Gemmell
http://SDM_LAB3.org/a10625,G. Bell
http://SDM_LAB3.org/a10626,Roger Lueder
http://SDM_LAB3.org/a10627,Meinard Müller
http://SDM_LAB3.org/a10628,Tido Röder
http://SDM_LAB3.org/a10631,Björn Krüger
http://SDM_LAB3.org/a10633,R. Gross
http://SDM_LAB3.org/a10634,Jianbo Shi
http://SDM_LAB3.org/a10635,Corey Goldfeder
http://SDM_LAB3.org/a10636,M. Ciocarlie
http://SDM_LAB3.org/a10638,P. Allen
http://SDM_LAB3.org/a10639,W. Kegelmeyer
http://SDM_LAB3.org/a10641,S. Munishkumaran
http://SDM_LAB3.org/a10642,M. Hammer
http://SDM_LAB3.org/a10644,U. Mudunuri
http://SDM_LAB3.org/a10645,Anney Che
http://SDM_LAB3.org/a10646,M. Yi
http://SDM_LAB3.org/a10649,Panagiotis G. Ipeirotis
http://SDM_LAB3.org/a1065,R. Hafen
http://SDM_LAB3.org/a10651,D. Srivastava
http://SDM_LAB3.org/a10653,N. Boury-Esnault
http://SDM_LAB3.org/a10654,J. Hooper
http://SDM_LAB3.org/a10655,K. Rützler
http://SDM_LAB3.org/a10656,Desai Nj
http://SDM_LAB3.org/a10657,De Glasby B Alvarez
http://SDM_LAB3.org/a10659,Ab Pisera
http://SDM_LAB3.org/a10660,R. Manconi
http://SDM_LAB3.org/a10661,C. Schoenberg
http://SDM_LAB3.org/a10663,Kr Tabachnick
http://SDM_LAB3.org/a10664,M. Klautau
http://SDM_LAB3.org/a10666,Michaelt . Kelly
http://SDM_LAB3.org/a10668,M. Dohrmann
http://SDM_LAB3.org/a1067,Cathy O'Neil
http://SDM_LAB3.org/a10672,Yipin Lu
http://SDM_LAB3.org/a10674,Shaomeng Wang
http://SDM_LAB3.org/a10676,P. Dam
http://SDM_LAB3.org/a10678,C. Beeri
http://SDM_LAB3.org/a10679,Ronald Fagin
http://SDM_LAB3.org/a10680,J. McHugh
http://SDM_LAB3.org/a10681,Roy Goldman
http://SDM_LAB3.org/a10682,D. Quass
http://SDM_LAB3.org/a10683,N. Campbell
http://SDM_LAB3.org/a1069,D. Uminsky
http://SDM_LAB3.org/a107,Jesse R. Zaneveld
http://SDM_LAB3.org/a1070,P. Fox
http://SDM_LAB3.org/a1071,J. Hendler
http://SDM_LAB3.org/a1073,W. Stiles
http://SDM_LAB3.org/a1075,C. Mattmann
http://SDM_LAB3.org/a1076,D. Lüdecke
http://SDM_LAB3.org/a1077,D. Borsboom
http://SDM_LAB3.org/a1078,M. Deserno
http://SDM_LAB3.org/a1079,M. Rhemtulla
http://SDM_LAB3.org/a108,Yilong Zhang
http://SDM_LAB3.org/a1082,R. McNally
http://SDM_LAB3.org/a1083,Donald J. Robinaugh
http://SDM_LAB3.org/a1085,J. Dalege
http://SDM_LAB3.org/a1086,G. Costantini
http://SDM_LAB3.org/a1087,A. Isvoranu
http://SDM_LAB3.org/a1088,Anna C. Wysocki
http://SDM_LAB3.org/a1089,C. V. van Borkulo
http://SDM_LAB3.org/a1093,Jeroen Baas
http://SDM_LAB3.org/a1096,Grégoire Côté
http://SDM_LAB3.org/a1097,Reza Karimi
http://SDM_LAB3.org/a1098,C. Birkle
http://SDM_LAB3.org/a1099,D. Pendlebury
http://SDM_LAB3.org/a1100,Joshua Schnell
http://SDM_LAB3.org/a1102,R. Bechmann
http://SDM_LAB3.org/a1103,R. Hearmon
http://SDM_LAB3.org/a1106,S. Freeman
http://SDM_LAB3.org/a1107,Sarah L. Eddy
http://SDM_LAB3.org/a1109,Michelle K. Smith
http://SDM_LAB3.org/a111,J. Caporaso
http://SDM_LAB3.org/a1111,Hannah Jordt
http://SDM_LAB3.org/a1112,M. Wenderoth
http://SDM_LAB3.org/a1113,M. Visser
http://SDM_LAB3.org/a1114,Nees Jan van Eck
http://SDM_LAB3.org/a1115,L. Waltman
http://SDM_LAB3.org/a1116,G. Blewitt
http://SDM_LAB3.org/a1117,W. Hammond
http://SDM_LAB3.org/a1118,C. Kreemer
http://SDM_LAB3.org/a1121,L. Himanen
http://SDM_LAB3.org/a1123,A. Foster
http://SDM_LAB3.org/a1124,P. Rinke
http://SDM_LAB3.org/a1126,D. Rochman
http://SDM_LAB3.org/a1127,J. Sublet
