conferenceId,conferenceUrl,conferenceTitle,conferenceType,conferenceProceedingIds
c78,d9720b90-d60b-48bc-9df8-87a30b9a60dd,Neural Information Processing Systems,regularConference,cp78
c79,61a709e3-2060-423c-8de5-ffd3885aa31c,International Conference on Medical Image Computing and Computer-Assisted Intervention,symposium,cp79
c80,939c6e1d-0d17-4d6e-8a82-66d960df0e40,International Conference on Learning Representations,expertGroup,cp80
c81,68cf0e99-5164-4480-8ed4-8b8416a091df,IEEE Annual Symposium on Foundations of Computer Science,symposium,cp81
c82,f1660451-ee90-4350-a9aa-cd9063707d38,Workshop on Interdisciplinary Software Engineering Research,workshop,cp82
c83,cf6b5e76-9274-46e6-a2dd-7c190ec2ec5f,International Conference on Computer Graphics and Interactive Techniques,symposium,cp83
c84,e07422f9-c065-40c3-a37b-75e98dce79fe,The Web Conference,workshop,cp84
c85,0ca4830a-5779-4a1f-8692-5eb621a6ef46,International Conference on Graph Transformation,regularConference,cp85
c86,f4989ee4-e1d2-45b4-85ad-c43a8ffef177,ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,workshop,cp86
c87,167fa0ca-e88a-4ef7-a16f-bc66c457c806,European Conference on Computer Vision,expertGroup,cp87
c88,8113a511-e0d9-4231-a1bc-0bf5d0212a4e,Symposium on the Theory of Computing,expertGroup,cp88
c89,f9af8000-42f8-410d-a622-e8811e41660a,Conference on Uncertainty in Artificial Intelligence,expertGroup,cp89
c90,768b87bb-8a18-4d9c-a161-4d483c776bcf,Computer Vision and Pattern Recognition,regularConference,cp90
c91,a4c2d670-4470-4a8b-8692-1b2864d10542,Workshop on Algorithms and Models for the Web-Graph,workshop,cp91
c92,360102ae-d0fc-418b-ab3a-a517e390209c,Advances in Soft Computing,regularConference,cp92
c93,f8e3f8d0-0f40-48c0-b3c0-0c540237b859,Human Language Technology - The Baltic Perspectiv,regularConference,cp93
c94,4144b5fb-0a80-4663-8ebf-80ca0c47231a,Vision,regularConference,cp94
c95,7654260e-79f9-45c5-9663-d72027cf88f3,IEEE International Conference on Computer Vision,expertGroup,cp95
c96,86c43745-31d9-4c1a-b33f-ce3aa0042dbb,USENIX Symposium on Operating Systems Design and Implementation,expertGroup,cp96
c97,af90489e-312f-4514-bea2-bcb399cb8ece,Interspeech,expertGroup,cp97
c98,01103732-3808-4930-b8e4-7e9e68d5c68d,North American Chapter of the Association for Computational Linguistics,workshop,cp98
c99,d7d7587f-a1e9-46a4-9db5-54c95787c6f1,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,symposium,cp99
c100,f68b9e7e-ad3d-46cb-857d-23e49384143c,ACM SIGMOD Conference,expertGroup,cp100
c101,3978c4ee-3451-46b1-a92c-33686a0e8afe,International Conference on Automatic Face and Gesture Recognition,expertGroup,cp101
c102,c884b267-162e-4c75-916e-f7b80bf543f9,International Conference on Biometrics,expertGroup,cp102
c103,cce4d150-8211-4378-a9ef-a234ec19414c,ACM SIGACT-SIGOPS Symposium on Principles of Distributed Computing,regularConference,cp103
c104,975e1529-a14b-436f-ad7e-a09d8eabc50d,IEEE International Conference on Multimedia and Expo,expertGroup,cp104
c105,f5a49005-d5b9-484b-801d-1a88308f9ca3,Biometrics and Identity Management,symposium,cp105
c106,486306ab-f860-4372-9544-62151e34ec3b,Chinese Conference on Biometric Recognition,expertGroup,cp106
c107,78a7fbcc-41c5-4258-b633-04b8637d4a9f,British Machine Vision Conference,expertGroup,cp107
c108,36345509-1ef5-40ea-8193-7b39cb132760,International Conference on Information Integration and Web-based Applications & Services,regularConference,cp108
c109,187dde4a-2b59-491b-b6cf-1a8618878cdc,International Conference on Mobile Data Management,regularConference,cp109
c110,b0c05768-6345-45d7-b541-235edf6ead54,IEEE International Conference on Automatic Face & Gesture Recognition,symposium,cp110
c111,cfc287e4-4c04-4848-ab16-633b33a61a09,International Society for Music Information Retrieval Conference,workshop,cp111
c112,a5c58053-0673-4cdb-b2b8-b6b0ad6911d1,Very Large Data Bases Conference,symposium,cp112
c113,c89c0957-b21e-40c3-9e6c-0ab46adf1e53,International Conference on Image Analysis and Processing,expertGroup,cp113
c114,3f2626a8-9d78-42ca-9e0d-4b853b59cdcc,IEEE International Conference on Robotics and Automation,symposium,cp114
